block,v3_usdc_per_weth,v2_usdc_per_weth,spread_pct,direction
47146277,1620.7252,1622.4761,0.10803,V3->V2
47146278,1620.7252,1622.4761,0.10803,V3->V2
47146279,1620.7252,1622.4761,0.10803,V3->V2
47146280,1620.7252,1622.4761,0.10803,V3->V2
47146281,1620.7252,1622.4761,0.10803,V3->V2
47146282,1620.7252,1622.4761,0.10803,V3->V2
47146283,1620.7252,1622.4761,0.10803,V3->V2
47146284,1620.7252,1622.4761,0.10803,V3->V2
47146285,1620.7252,1622.4761,0.10803,V3->V2
47146286,1620.7252,1622.4761,0.10803,V3->V2
47146287,1620.7252,1622.4761,0.10803,V3->V2
47146288,1620.7252,1622.4761,0.10803,V3->V2
47146289,1620.7252,1622.4761,0.10803,V3->V2
47146290,1620.7252,1622.4761,0.10803,V3->V2
47146291,1620.7252,1622.4761,0.10803,V3->V2
47146292,1620.7252,1622.4761,0.10803,V3->V2
47146293,1620.7253,1622.4761,0.10802,V3->V2
47146294,1620.7253,1622.4761,0.10802,V3->V2
47146295,1620.7253,1622.4761,0.10802,V3->V2
47146296,1620.7224,1622.4761,0.10820,V3->V2
47146297,1620.7224,1622.4761,0.10820,V3->V2
47146298,1620.7224,1622.4761,0.10820,V3->V2
47146299,1620.7224,1622.4761,0.10820,V3->V2
47146300,1620.5604,1622.4761,0.11821,V3->V2
47146301,1620.5604,1622.4761,0.11821,V3->V2
47146302,1620.5604,1622.4761,0.11821,V3->V2
47146303,1620.5604,1622.4761,0.11821,V3->V2
47146304,1620.5604,1622.4761,0.11821,V3->V2
47146305,1620.5604,1622.4761,0.11821,V3->V2
47146306,1620.5604,1622.4761,0.11821,V3->V2
47146307,1620.5555,1622.4761,0.11852,V3->V2
47146308,1620.5555,1622.4761,0.11852,V3->V2
47146309,1620.5555,1622.4761,0.11852,V3->V2
47146310,1620.5555,1622.4761,0.11852,V3->V2
47146311,1620.5555,1622.4761,0.11852,V3->V2
47146312,1620.5555,1622.4761,0.11852,V3->V2
47146313,1620.5555,1622.4761,0.11852,V3->V2
47146314,1620.5555,1622.4761,0.11852,V3->V2
47146315,1620.5554,1622.4761,0.11852,V3->V2
47146316,1620.5554,1622.4761,0.11852,V3->V2
47146317,1620.5554,1622.4761,0.11852,V3->V2
47146318,1620.5554,1622.4761,0.11852,V3->V2
47146319,1620.5590,1622.4761,0.11830,V3->V2
47146320,1620.5590,1622.4761,0.11830,V3->V2
47146321,1620.5590,1622.4761,0.11830,V3->V2
47146322,1620.4820,1622.4761,0.12306,V3->V2
47146323,1620.4820,1622.4761,0.12306,V3->V2
47146324,1620.4820,1622.4761,0.12306,V3->V2
47146325,1620.4820,1622.4761,0.12306,V3->V2
47146326,1620.4820,1622.4761,0.12306,V3->V2
47146327,1620.4824,1622.4761,0.12303,V3->V2
47146328,1620.4828,1622.4761,0.12301,V3->V2
47146329,1620.4828,1622.4763,0.12302,V3->V2
47146330,1620.4828,1622.4763,0.12302,V3->V2
47146331,1620.4828,1622.4763,0.12302,V3->V2
47146332,1620.4828,1622.4763,0.12302,V3->V2
47146333,1620.4808,1622.4763,0.12315,V3->V2
47146334,1620.4808,1622.4762,0.12314,V3->V2
47146335,1620.4808,1622.4765,0.12315,V3->V2
47146336,1620.4808,1622.4765,0.12315,V3->V2
47146337,1620.4808,1622.4765,0.12315,V3->V2
47146338,1620.4808,1622.4765,0.12315,V3->V2
47146339,1620.4808,1622.4765,0.12315,V3->V2
47146340,1620.6996,1622.4765,0.10963,V3->V2
47146341,1620.7691,1622.4765,0.10534,V3->V2
47146342,1620.4359,1622.4765,0.12593,V3->V2
47146343,1620.6251,1622.4765,0.11424,V3->V2
47146344,1620.7623,1622.4765,0.10576,V3->V2
47146345,1620.8199,1622.4765,0.10221,V3->V2
47146346,1620.8199,1622.4765,0.10221,V3->V2
47146347,1620.8199,1622.4765,0.10221,V3->V2
47146348,1620.8199,1622.4765,0.10221,V3->V2
47146349,1620.8199,1622.4765,0.10221,V3->V2
47146350,1620.9144,1622.4765,0.09637,V3->V2
47146351,1620.9144,1622.4765,0.09637,V3->V2
47146352,1620.9144,1622.4765,0.09637,V3->V2
47146353,1621.0066,1622.4765,0.09068,V3->V2
47146354,1621.0066,1622.4773,0.09073,V3->V2
47146355,1621.0066,1622.4773,0.09073,V3->V2
47146356,1621.0066,1622.4773,0.09073,V3->V2
47146357,1621.0066,1622.4773,0.09073,V3->V2
47146358,1621.0156,1622.4773,0.09017,V3->V2
47146359,1621.0156,1622.4773,0.09017,V3->V2
47146360,1621.2853,1622.4773,0.07352,V3->V2
47146361,1621.4585,1622.4773,0.06283,V3->V2
47146362,1621.9246,1622.4773,0.03408,V3->V2
47146363,1621.9246,1622.4774,0.03408,V3->V2
47146364,1621.9246,1622.4774,0.03408,V3->V2
47146365,1621.9246,1622.4775,0.03409,V3->V2
47146366,1621.9555,1622.4775,0.03219,V3->V2
47146367,1621.9555,1622.4775,0.03219,V3->V2
47146368,1621.9555,1622.4775,0.03219,V3->V2
47146369,1621.9805,1622.4775,0.03064,V3->V2
47146370,1621.9805,1622.4775,0.03064,V3->V2
47146371,1621.9805,1622.4775,0.03064,V3->V2
47146372,1621.9805,1622.4775,0.03064,V3->V2
47146373,1621.9807,1622.4775,0.03063,V3->V2
47146374,1621.9807,1622.4775,0.03063,V3->V2
47146375,1621.9807,1622.4775,0.03063,V3->V2
47146376,1621.9807,1622.4775,0.03063,V3->V2
47146377,1621.9807,1622.4775,0.03063,V3->V2
47146378,1621.9809,1622.4775,0.03062,V3->V2
47146379,1621.9809,1622.4775,0.03062,V3->V2
47146380,1621.8217,1622.4775,0.04043,V3->V2
47146381,1621.8217,1622.4775,0.04043,V3->V2
47146382,1621.8217,1622.4775,0.04043,V3->V2
47146383,1621.6293,1622.4775,0.05230,V3->V2
47146384,1621.4332,1622.4775,0.06441,V3->V2
47146385,1621.4335,1622.4775,0.06438,V3->V2
47146386,1621.4335,1622.4775,0.06438,V3->V2
47146387,1621.4333,1622.4775,0.06440,V3->V2
47146388,1621.4333,1622.4775,0.06440,V3->V2
47146389,1621.4333,1622.4775,0.06440,V3->V2
47146390,1621.2906,1622.4775,0.07321,V3->V2
47146391,1621.0537,1622.4775,0.08783,V3->V2
47146392,1621.0537,1622.4775,0.08783,V3->V2
47146393,1621.0537,1622.4775,0.08783,V3->V2
47146394,1621.0537,1622.4775,0.08783,V3->V2
47146395,1621.0223,1622.4775,0.08977,V3->V2
47146396,1620.7515,1622.4775,0.10649,V3->V2
47146397,1620.1326,1622.4775,0.14474,V3->V2
47146398,1620.1326,1622.4775,0.14474,V3->V2
47146399,1620.1332,1622.4775,0.14469,V3->V2
47146400,1620.1332,1622.4775,0.14469,V3->V2
47146401,1620.1332,1622.4775,0.14469,V3->V2
47146402,1620.1332,1622.4775,0.14469,V3->V2
47146403,1620.1332,1622.4775,0.14469,V3->V2
47146404,1620.1332,1622.4775,0.14469,V3->V2
47146405,1620.1332,1622.4775,0.14469,V3->V2
47146406,1620.1332,1622.4775,0.14469,V3->V2
47146407,1620.1332,1622.4775,0.14469,V3->V2
47146408,1620.1326,1622.4775,0.14474,V3->V2
47146409,1620.1326,1622.4775,0.14474,V3->V2
47146410,1619.6134,1622.4775,0.17684,V3->V2
47146411,1619.6134,1622.4775,0.17684,V3->V2
47146412,1619.6134,1622.4775,0.17684,V3->V2
47146413,1619.6134,1622.4775,0.17684,V3->V2
47146414,1619.6491,1622.4775,0.17463,V3->V2
47146415,1619.6487,1622.4775,0.17465,V3->V2
47146416,1619.6487,1622.4775,0.17465,V3->V2
47146417,1619.6487,1622.4775,0.17465,V3->V2
47146418,1619.6487,1622.4775,0.17465,V3->V2
47146419,1619.6487,1622.4775,0.17465,V3->V2
47146420,1620.4234,1622.4775,0.12676,V3->V2
47146421,1620.4234,1622.4775,0.12676,V3->V2
47146422,1620.4234,1622.4775,0.12676,V3->V2
47146423,1620.4234,1622.4775,0.12676,V3->V2
47146424,1620.4234,1622.4775,0.12676,V3->V2
47146425,1620.4241,1622.4775,0.12672,V3->V2
47146426,1620.3246,1622.4775,0.13287,V3->V2
47146427,1620.3246,1622.4775,0.13287,V3->V2
47146428,1620.3246,1622.4775,0.13287,V3->V2
47146429,1620.3246,1622.4775,0.13287,V3->V2
47146430,1620.3246,1622.4775,0.13287,V3->V2
47146431,1620.2395,1622.4775,0.13813,V3->V2
47146432,1620.0362,1622.4775,0.15070,V3->V2
47146433,1619.8586,1622.4775,0.16168,V3->V2
47146434,1619.7374,1622.4775,0.16917,V3->V2
47146435,1619.4051,1622.4775,0.18972,V3->V2
47146436,1619.4051,1622.4775,0.18972,V3->V2
